trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
35,False,"{'a': 0.4, 'e': 0.6499999999999997}",25,0,-63.635208672754324,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.4, 'e': 0.6399999999999997}",25,0,-57.3854927503226,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.4, 'e': 0.6299999999999997}",20,10,7.138596071140578,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.4, 'e': 0.6199999999999997}",20,0,-213.2904895204849,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
39,False,"{'a': 0.4, 'e': 0.6099999999999997}",30,0,-117.85855388456876,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.5999999999999996}",20,13,-37.35074134772701,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.4, 'e': 0.5899999999999996}",25,7,-6.856828877711708,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.5799999999999996}",20,16,6.509386066325142,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.5699999999999996}",25,19,11.726217034375772,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.4, 'e': 0.5599999999999996}",20,8,-19.562157154549997,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.5499999999999996}",25,5,-16.720242736671036,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.5399999999999996}",20,6,-54.933249408209925,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.4, 'e': 0.5299999999999996}",20,10,-1.812329522894927,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.4, 'e': 0.5199999999999996}",20,9,-80.0795883750166,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
49,False,"{'a': 0.4, 'e': 0.5099999999999996}",20,2,-54.91604222034316,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.4, 'e': 0.49999999999999956}",20,0,-115.2851946574534,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
51,False,"{'a': 0.4, 'e': 0.48999999999999955}",25,0,-59.492950760462975,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.47999999999999954}",25,5,4.540770837367262,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.46999999999999953}",25,3,-74.99581469068475,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
54,False,"{'a': 0.4, 'e': 0.4599999999999995}",30,0,-59.35104360283863,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.4, 'e': 0.4499999999999995}",25,7,-29.602256172818542,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.4399999999999995}",20,2,-71.87001935544711,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
57,False,"{'a': 0.4, 'e': 0.4299999999999995}",20,11,13.1804846106191,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.4199999999999995}",20,0,-1.5877665040479432,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.4, 'e': 0.4099999999999995}",30,0,-34.488510213216124,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.39999999999999947}",20,4,-28.60241152543752,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.38999999999999946}",30,0,10.158150334317195,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.4, 'e': 0.37999999999999945}",20,0,-16.273213890001568,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.4, 'e': 0.36999999999999944}",20,8,-3.8793411910062554,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.35999999999999943}",35,17,-19.859889221115996,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.3499999999999994}",30,22,15.302663070371118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.3399999999999994}",20,0,-20.202310464151967,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.4, 'e': 0.3299999999999994}",25,13,18.245690193729743,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.3199999999999994}",20,5,22.033611180799284,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.3099999999999994}",25,10,-19.96583714297638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.4, 'e': 0.2999999999999994}",30,0,-6.623442021663713,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.28999999999999937}",20,9,5.867980457143721,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.27999999999999936}",25,7,12.221116574838067,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.26999999999999935}",25,13,11.996023521172747,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.25999999999999934}",20,13,15.040731811497595,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.24999999999999933}",20,15,7.032212135022833,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.23999999999999932}",20,0,-18.20724516830253,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.4, 'e': 0.22999999999999932}",20,8,17.113800161007763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.2199999999999993}",25,19,10.841121269563223,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.2099999999999993}",30,16,26.53410725322045,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.1999999999999993}",20,10,15.692797679355145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
